Year,State,StateUnemploymentRate
1976/1/1,Alabama,6.6
1976/1/1,Alaska,7.1
1976/1/1,Arizona,10.2
1976/1/1,Arkansas,7.3
1976/1/1,California,9.2
1976/1/1,Colorado,5.8
1976/1/1,Connecticut,9.8
1976/1/1,Delaware,8
1976/1/1,District of Columbia,8.7
1976/1/1,Florida,9.7
1976/1/1,Georgia,8.4
1976/1/1,Hawaii,9.8
1976/1/1,Idaho,5.6
1976/1/1,Illinois,6.6
1976/1/1,Indiana,6.6
1976/1/1,Iowa,4.3
1976/1/1,Kansas,4.2
1976/1/1,Kentucky,5.6
1976/1/1,Louisiana,6.3
1976/1/1,Maine,8.7
1976/1/1,Maryland,6.4
1976/1/1,Massachusetts,10.5
1976/1/1,Michigan,9.9
1976/1/1,Minnesota,6
1976/1/1,Mississippi,6.7
1976/1/1,Missouri,5.9
1976/1/1,Montana,5.8
1976/1/1,Nebraska,3.3
1976/1/1,Nevada,9.2
1976/1/1,New Hampshire,6.5
1976/1/1,New Jersey,10.3
1976/1/1,New Mexico,8.6
1976/1/1,New York,10.3
1976/1/1,North Carolina,6.4
1976/1/1,North Dakota,3.4
1976/1/1,Ohio,8.1
1976/1/1,Oklahoma,5.8
1976/1/1,Oregon,9.5
1976/1/1,Pennsylvania,8
1976/1/1,Rhode Island,7.8
1976/1/1,South Carolina,7.4
1976/1/1,South Dakota,3.3
1976/1/1,Tennessee,6
1976/1/1,Texas,5.8
1976/1/1,Utah,5.8
1976/1/1,Vermont,8.6
1976/1/1,Virginia,6.1
1976/1/1,Washington,8.5
1976/1/1,West Virginia,7.5
1976/1/1,Wisconsin,5.8
1976/1/1,Wyoming,4.1
1976/2/1,Alabama,6.6
1976/2/1,Alaska,7.1
1976/2/1,Arizona,10.2
1976/2/1,Arkansas,7.3
1976/2/1,California,9.2
1976/2/1,Colorado,5.7
1976/2/1,Connecticut,9.8
1976/2/1,Delaware,8
1976/2/1,District of Columbia,8.7
1976/2/1,Florida,9.7
1976/2/1,Georgia,8.4
1976/2/1,Hawaii,9.8
1976/2/1,Idaho,5.6
