year,state,actualminimumwage2020dollars,cpiaverage,stateid,Percent.Unemployment.Rate,PercentLaborForceParticipation
1976,Alabama,10,56.900002,1,6.7,57
1976,Alaska,12.73,56.900002,2,7.6,68.5
1976,Arizona,10,56.900002,3,9.8,59.5
1976,Arkansas,10,56.900002,4,6.9,57.8
1976,California,10,56.900002,5,9.2,62.6
1976,Colorado,10,56.900002,6,5.9,66.8
1976,Connecticut,10.05,56.900002,7,9.2,64.3
1976,Delaware,10,56.900002,8,8.6,62.6
1976,District of Columbia,10.23,56.900002,9,8.6,64.2
1976,Florida,10,56.900002,10,9.3,55.3
1976,Georgia,10,56.900002,11,8.2,63.8
1976,Hawaii,10.91,56.900002,12,9.2,69.2
1976,Idaho,10,56.900002,13,5.7,63.2
1976,Illinois,10,56.900002,14,6.6,63
1976,Indiana,10,56.900002,15,6,64
1976,Iowa,10,56.900002,16,4.1,64.3
1976,Kansas,10,56.900002,17,4.2,65.4
1976,Kentucky,10,56.900002,18,5.4,60.1
1976,Louisiana,10,56.900002,19,6.6,56.6
1976,Maine,10.46,56.900002,20,8.7,61.7
1976,Maryland,10,56.900002,21,6.6,64.3
1976,Massachusetts,10,56.900002,22,9.7,64.7
1976,Michigan,10,56.900002,23,9.4,61.8
1976,Minnesota,10,56.900002,24,5.8,65.8
1976,Mississippi,10,56.900002,25,6.5,58.6
1976,Missouri,10,56.900002,26,6.2,60.9
1976,Montana,10,56.900002,27,5.9,62.4
1976,Nebraska,10,56.900002,28,3.2,65.1
1976,Nevada,10,56.900002,29,8.8,70.8
1976,New Hampshire,10,56.900002,30,6.4,66.3
1976,New Jersey,10,56.900002,31,10.4,61.7
1976,New Mexico,10,56.900002,32,8.7,60.5
1976,New York,10.46,56.900002,33,10.2,58.1
1976,North Carolina,10,56.900002,34,6.2,66.2
1976,North Dakota,10,56.900002,35,3.8,62.8
1976,Ohio,10,56.900002,36,7.7,61.5
1976,Oklahoma,10,56.900002,37,5.6,59
1976,Oregon,10.46,56.900002,38,9.3,63
1976,Pennsylvania,10,56.900002,39,8,58.3
1976,Rhode Island,10.46,56.900002,40,8,63.5
1976,South Carolina,10,56.900002,41,7,64.7
1976,South Dakota,10,56.900002,42,3.3,64.6
1976,Tennessee,10,56.900002,43,6.1,59.8
1976,Texas,10,56.900002,44,5.8,63.7
1976,Utah,10,56.900002,45,5.6,62.8
1976,Vermont,10.46,56.900002,46,8.3,63.6
1976,Virginia,10,56.900002,47,5.9,65.5
1976,Washington,10,56.900002,48,8.8,61.4
1976,West Virginia,10,56.900002,49,7.2,51.8
1976,Wisconsin,10,56.900002,50,5.5,65.7
1976,Wyoming,10,56.900002,51,3.9,65.6
1977,Alabama,9.3900003,60.599998,1,7.2,58.2
1977,Alaska,11.95,60.599998,2,9.9,69.9
1977,Arizona,9.3900003,60.599998,3,8.4,60.4
1977,Arkansas,9.3900003,60.599998,4,6.5,58.5
1977,California,9.3900003,60.599998,5,8.4,63.8
1977,Colorado,9.3900003,60.599998,6,6.4,67.3
1977,Connecticut,9.4300003,60.599998,7,7,64.9
1977,Delaware,9.3900003,60.599998,8,8.2,63.5
1977,District of Columbia,9.6000004,60.599998,9,8.6,64
1977,Florida,9.3900003,60.599998,10,8.3,55.4
1977,Georgia,9.3900003,60.599998,11,6.9,63.9
1977,Hawaii,10.24,60.599998,12,7.6,68.4
1977,Idaho,9.3900003,60.599998,13,5.9,64.9
1977,Illinois,9.3900003,60.599998,14,6.2,63.9
1977,Indiana,9.3900003,60.599998,15,5.8,64.2
1977,Iowa,9.3900003,60.599998,16,4,65.7
1977,Kansas,9.3900003,60.599998,17,3.9,66.3
1977,Kentucky,9.3900003,60.599998,18,4.9,60.6
1977,Louisiana,9.3900003,60.599998,19,6.9,57.7
1977,Maine,9.8199997,60.599998,20,8.4,60.8
1977,Maryland,9.3900003,60.599998,21,6.1,65
1977,Massachusetts,9.3900003,60.599998,22,7.9,64.8
1977,Michigan,9.3900003,60.599998,23,8.2,62.8
1977,Minnesota,9.3900003,60.599998,24,5.3,67.1
1977,Mississippi,9.3900003,60.599998,25,7.2,58.8
1977,Missouri,9.3900003,60.599998,26,6,62.4
1977,Montana,9.3900003,60.599998,27,6.2,63.4
1977,Nebraska,9.3900003,60.599998,28,3.4,66.4
1977,Nevada,9.3900003,60.599998,29,6.8,71.2
