Year,State,LaborForceParticipation
1976/1/1,Alabama,57
1976/1/1,Alaska,69
1976/1/1,Arizona,59.5
1976/1/1,Arkansas,57.9
1976/1/1,California,62.6
1976/1/1,Colorado,67.2
1976/1/1,Connecticut,64.2
1976/1/1,Delaware,62.7
1976/1/1,District of Columbia,64.4
1976/1/1,Florida,55.8
1976/1/1,Georgia,63.7
1976/1/1,Hawaii,69.9
1976/1/1,Idaho,63
1976/1/1,Illinois,63
1976/1/1,Indiana,64
1976/1/1,Iowa,64.4
1976/1/1,Kansas,65.1
1976/1/1,Kentucky,60.5
1976/1/1,Louisiana,56.8
1976/1/1,Maine,62.1
1976/1/1,Maryland,64.3
1976/1/1,Massachusetts,64.8
1976/1/1,Michigan,61.6
1976/1/1,Minnesota,65.6
1976/1/1,Mississippi,58.8
1976/1/1,Missouri,60.5
1976/1/1,Montana,62.7
1976/1/1,Nebraska,64.9
1976/1/1,Nevada,71.3
1976/1/1,New Hampshire,65.9
1976/1/1,New Jersey,61.5
1976/1/1,New Mexico,60.8
1976/1/1,New York,58
1976/1/1,North Carolina,66.5
1976/1/1,North Dakota,62.6
1976/1/1,Ohio,61.7
1976/1/1,Oklahoma,59.3
1976/1/1,Oregon,62.9
1976/1/1,Pennsylvania,58.4
1976/1/1,Rhode Island,63.8
1976/1/1,South Carolina,65.3
1976/1/1,South Dakota,64.6
1976/1/1,Tennessee,59.6
1976/1/1,Texas,63.8
1976/1/1,Utah,62.8
1976/1/1,Vermont,63.6
1976/1/1,Virginia,65.9
1976/1/1,Washington,60.9
1976/1/1,West Virginia,52.5
1976/1/1,Wisconsin,65.6
1976/1/1,Wyoming,65.3
1976/2/1,Alabama,56.9
1976/2/1,Alaska,68.4
1976/2/1,Arizona,59.2
1976/2/1,Arkansas,57.8
1976/2/1,California,62.4
1976/2/1,Colorado,67
1976/2/1,Connecticut,64.1
1976/2/1,Delaware,62.5
1976/2/1,District of Columbia,64.5
1976/2/1,Florida,55.7
1976/2/1,Georgia,63.6
1976/2/1,Hawaii,69.6
1976/2/1,Idaho,62.8
1976/2/1,Illinois,63
1976/2/1,Indiana,63.9
1976/2/1,Iowa,64.3
1976/2/1,Kansas,65
1976/2/1,Kentucky,60.3
1976/2/1,Louisiana,56.6
1976/2/1,Maine,61.9
1976/2/1,Maryland,64.2
1976/2/1,Massachusetts,64.7
1976/2/1,Michigan,61.5
1976/2/1,Minnesota,65.5
1976/2/1,Mississippi,58.6
1976/2/1,Missouri,60.3
1976/2/1,Montana,62.5
